"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Meaning of Employment size of firms code (EMPSZFI_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with no employees","2018","711,493","325,046,053","0","49,465,824","0.8","4.4","0.0","2.8"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with 1 to 4 employees","2018","2,810,033","1,247,506,977","5,612,254","225,973,662","0.2","0.5","0.3","1.0"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with 5 to 9 employees","2018","948,936","1,071,154,479","6,265,576","249,456,413","0.5","1.0","0.6","1.1"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with 10 to 19 employees","2018","611,926","1,397,607,709","8,242,749","335,750,963","0.8","1.8","0.8","0.8"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with 20 to 49 employees","2018","402,704","2,421,677,332","12,161,051","526,534,406","1.3","5.0","1.3","1.4"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with 50 to 99 employees","2018","124,334","2,212,008,509","8,533,853","406,406,856","2.5","7.5","2.4","2.8"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with 100 to 249 employees","2018","71,081","3,208,386,734","10,657,260","550,771,515","3.7","6.6","3.6","4.5"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with 250 to 499 employees","2018","21,488","2,178,757,220","7,491,988","398,130,293","4.4","7.8","4.4","7.0"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with 500 employees or more","2018","20,149","24,343,394,355","69,231,676","4,194,750,376","1.9","0.7","0.6","0.6"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with no employees","2018","152,923","50,468,809","0","9,058,297","1.4","6.3","0.0","4.3"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with 1 to 4 employees","2018","593,464","206,956,293","1,146,253","40,261,977","1.2","2.2","1.0","2.6"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with 5 to 9 employees","2018","190,325","172,858,913","1,258,633","43,157,329","1.2","3.5","1.2","2.2"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with 10 to 19 employees","2018","113,310","190,719,114","1,520,811","51,656,971","2.7","3.3","2.7","3.5"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with 20 to 49 employees","2018","64,133","286,532,471","1,897,699","68,820,654","2.7","14.5","2.5","4.7"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with 50 to 99 employees","2018","16,829","212,398,699","1,141,762","43,993,880","6.7","11.0","7.0","7.2"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with 100 to 249 employees","2018","7,585","226,261,829","1,115,052","48,388,974","8.7","14.9","9.9","10.0"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with 250 to 499 employees","2018","1,729","150,381,139","604,731","25,262,043","23.3","32.2","20.1","15.5"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with 500 employees or more","2018","1,111","280,258,082","1,464,316","57,485,098","7.7","3.7","4.1","7.0"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with no employees","2018","438,513","209,446,693","0","32,124,144","1.0","3.5","0.0","2.5"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with 1 to 4 employees","2018","1,731,521","829,936,817","3,456,517","149,360,566","0.3","0.6","0.5","1.1"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with 5 to 9 employees","2018","574,771","704,887,118","3,788,263","163,364,518","1.0","1.1","0.9","1.4"
