"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Meaning of Years in business code (YIBSZFI_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with less than 2 years in business","2018","826,575","680,812,490","3,554,392","142,887,616","0.7","2.1","2.4","1.9"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with 2 to 3 years in business","2018","718,376","769,496,008","5,116,799","173,356,299","1.0","4.0","3.6","2.4"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with 4 to 5 years in business","2018","542,963","724,662,955","4,602,804","176,253,624","0.8","5.4","4.3","5.8"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with 6 to 10 years in business","2018","948,138","1,735,022,260","9,572,368","416,994,321","0.6","5.5","0.9","5.2"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with 11 to 15 years in business","2018","812,155","1,968,981,291","9,098,324","445,296,811","0.8","6.1","2.1","4.2"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with 16 or more years in business","2018","1,873,936","32,526,564,365","96,251,718","5,582,451,636","0.4","1.4","0.5","0.4"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with less than 2 years in business","2018","186,472","107,381,733","742,429","26,851,674","1.1","3.7","3.6","4.5"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with 2 to 3 years in business","2018","168,710","112,289,913","949,728","29,132,345","2.4","7.3","6.8","8.9"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with 4 to 5 years in business","2018","123,845","91,756,801","801,222","24,501,713","1.8","4.8","5.2","5.2"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with 6 to 10 years in business","2018","207,640","214,134,850","1,672,672","56,415,688","1.1","5.7","4.0","5.0"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with 11 to 15 years in business","2018","163,247","196,263,877","1,452,127","54,578,468","2.5","8.4","7.0","10.4"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with 16 or more years in business","2018","291,497","1,055,008,177","4,531,079","196,605,334","1.6","6.6","2.6","2.5"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with less than 2 years in business","2018","502,234","412,097,438","2,128,453","89,129,480","1.0","2.6","4.0","3.1"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with 2 to 3 years in business","2018","430,416","504,224,238","3,168,534","108,016,662","1.2","6.4","5.0","1.7"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with 4 to 5 years in business","2018","328,659","486,503,584","2,896,732","116,468,996","1.3","7.2","6.8","7.6"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with 6 to 10 years in business","2018","572,254","1,096,023,040","5,722,196","255,607,280","1.2","9.1","1.2","8.6"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with 11 to 15 years in business","2018","491,051","1,115,084,188","5,193,500","259,229,863","1.2","6.3","3.1","5.4"
"United States","00","Total for all sectors","Male","Total","Total","Total","Firms with 16 or more years in business","2018","1,172,345","7,626,102,996","26,236,990","1,312,049,412","0.8","4.1","1.4","1.2"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with less than 2 years in business","2018","131,563","92,484,984","559,283","19,872,789","1.7","5.5","8.1","8.0"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with 2 to 3 years in business","2018","104,122","87,849,198","703,744","19,528,553","2.7","10.8","5.9","8.8"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with 4 to 5 years in business","2018","78,175","80,100,798","584,628","17,159,227","2.1","14.7","7.5","9.7"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with 6 to 10 years in business","2018","142,012","149,215,524","1,163,398","35,332,887","3.2","5.2","3.8","4.0"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with 11 to 15 years in business","2018","133,685","185,975,247","1,141,278","41,118,086","2.8","8.3","4.8","6.2"
"United States","00","Total for all sectors","Equally male/female","Total","Total","Total","Firms with 16 or more years in business","2018","271,200","744,982,728","3,817,791","146,841,467","1.8","8.4","4.4","5.3"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with less than 2 years in business","2018","56,018","29,308,652","214,568","6,697,203","2.1","5.6","7.7","9.3"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","55,762","52,175,181","353,165","10,071,471","4.1","16.6","8.4","7.7"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","40,795","44,531,184","343,745","10,021,222","3.8","17.3","21.1","19.8"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","68,425","84,449,823","593,974","19,368,630","2.5","11.2","5.5","7.4"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","47,059","61,753,052","428,072","14,825,988","3.6","9.9","6.6","8.8"
"United States","00","Total for all sectors","Total","Hispanic","Total","Total","Firms with 16 or more years in business","2018","63,563","183,426,790","1,038,616","40,118,784","1.9","5.1","9.1","5.8"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with less than 2 years in business","2018","14,595","6,296,075","56,992","1,704,140","6.0","8.9","12.9","17.6"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","15,198","11,180,830","91,834","2,611,638","6.0","21.0","15.3","16.4"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","10,704","10,851,076","79,567","2,145,086","6.5","30.0","15.2","14.3"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","17,776","15,857,178","144,358","3,801,703","7.9","23.4","13.7","13.2"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","11,677","13,864,085","101,400","3,333,380","6.2","9.6","13.5","11.3"
"United States","00","Total for all sectors","Female","Hispanic","Total","Total","Firms with 16 or more years in business","2018","14,551","33,054,481","248,504","8,379,729","6.8","15.4","19.6","16.5"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with less than 2 years in business","2018","34,804","19,353,902","131,871","4,209,884","2.9","7.8","11.6","10.1"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","34,692","36,557,413","230,395","6,659,475","4.6","26.4","12.3","11.5"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","25,272","28,797,821","226,292","6,811,718","5.1","16.8","29.7","24.2"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","43,233","61,579,875","389,145","13,756,905","3.3","17.1","8.9","11.5"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","29,104","40,714,297","278,944","10,088,220","5.4","10.6","8.6","11.5"
"United States","00","Total for all sectors","Male","Hispanic","Total","Total","Firms with 16 or more years in business","2018","42,320","138,769,756","701,142","29,017,232","2.9","7.5","7.9","6.5"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with less than 2 years in business","2018","6,618","3,658,675","25,706","783,179","8.7","12.9","18.7","18.8"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","5,871","4,436,938","30,936","800,359","5.6","20.7","20.1","19.6"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","4,821","4,882,287","37,886","1,064,418","12.8","21.3","26.4","24.8"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","7,416","7,012,771","60,471","1,810,022","15.0","15.8","15.5","15.7"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","6,278","7,174,669","47,729","1,404,388","6.3","24.7","15.0","17.7"
"United States","00","Total for all sectors","Equally male/female","Hispanic","Total","Total","Firms with 16 or more years in business","2018","6,695","11,602,554","88,969","2,721,822","10.6","12.9","15.6","16.2"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with less than 2 years in business","2018","9,207","4,554,466","37,607","1,066,360","5.7","10.8","19.9","11.4"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","7,670","6,040,568","50,168","1,421,430","7.3","13.3","16.6","15.9"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","S","S","50,000 to 99,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","9,104","10,091,252","78,480","2,488,107","10.5","22.7","25.3","22.0"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","7,100","9,203,150","72,414","2,191,606","10.9","30.3","19.0","20.8"
"United States","00","Total for all sectors","Total","Equally Hispanic/non-Hispanic","Total","Total","Firms with 16 or more years in business","2018","10,736","33,751,018","192,842","8,593,953","6.2","28.9","17.7","28.9"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with less than 2 years in business","2018","511","118,269","1,557","31,359","25.8","29.4","35.7","27.1"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 2 to 3 years in business","2018","423","237,005","2,495","65,519","31.2","39.7","38.6","46.1"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 4 to 5 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 6 to 10 years in business","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","00","Total for all sectors","Female","Equally Hispanic/non-Hispanic","Total","Total","Firms with 11 to 15 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
