"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Meaning of Sales, value of shipments, or revenue size of firms code (RCPSZFI_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with sales/receipts of less than $5,000","2018","36,605","83,359","92,450","4,965,554","4.2","4.6","11.8","12.4"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with sales/receipts of $5,000 to $9,999","2018","39,920","277,015","41,784","1,553,295","5.8","5.7","5.0","7.9"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with sales/receipts of $10,000 to $24,999","2018","114,135","1,942,119","159,352","4,643,999","2.2","2.5","22.3","21.6"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with sales/receipts of $25,000 to $49,999","2018","214,105","7,993,433","243,524","5,612,759","1.6","1.8","5.5","31.3"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with sales/receipts of $50,000 to $99,999","2018","481,615","35,783,909","642,540","12,197,323","1.1","1.1","2.7","3.4"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with sales/receipts of $100,000 to $249,999","2018","1,147,044","193,778,410","2,316,429","56,347,154","0.9","0.9","0.8","1.0"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with sales/receipts of $250,000 to $499,999","2018","1,107,078","399,008,699","4,042,017","111,556,988","0.7","0.8","1.6","1.4"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with sales/receipts of $500,000 to $999,999","2018","973,877","692,682,524","6,102,056","193,199,832","0.8","0.9","0.6","0.9"
"United States","00","Total for all sectors","Total","Total","Total","Total","Firms with sales/receipts of $1,000,000 or more","2018","1,607,762","37,073,989,899","114,556,253","6,547,163,403","0.4","1.2","0.6","0.5"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with sales/receipts of less than $5,000","2018","8,344","20,117","17,119","777,178","6.7","8.0","33.0","46.7"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with sales/receipts of $5,000 to $9,999","2018","9,654","67,036","8,898","329,280","10.2","9.9","18.1","7.2"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with sales/receipts of $10,000 to $24,999","2018","30,367","523,070","29,741","594,732","4.3","4.4","8.7","24.3"
"United States","00","Total for all sectors","Female","Total","Total","Total","Firms with sales/receipts of $25,000 to $49,999","2018","58,001","2,162,261","61,151","909,977","3.3","3.1","6.8","7.3"
